Title,LiveUrl,Total Units,Visitors,Page Views,Module Completed Rate,Module Started,Module Completed,Badges,Shared Badges,Module Hours Viewed,Module Avg Minutes per UV,Duration,Average Star rating,Total Rater,Sandbox Activate(Clicks),Sandbox Activate(Users),Products,Roles,Levels,MSAuthor,GitHubAuthor
Publish a Blazor WebAssembly app and .NET API with Azure Static Web Apps,https://docs.microsoft.com/en-us/learn/modules/publish-app-service-static-web-app-api-dotnet/,12,2754,11056,11.71%,1078,63,59,,211.06472222222223,9.216800097040272,38,4.2,5,19,15,azure;azure-functions;azure-app-service;azure-app-service-static;dotnet;aspnet-core;blazor,developer,beginner,aapowell,aaronpowell
Publish and manage your APIs with Azure API Management,https://docs.microsoft.com/en-us/learn/modules/publish-manage-apis-with-azure-api-management/,8,2687,17614,50.56%,1990,500,472,1,349.5411111111111,15.686212914485166,38,4.758620689655173,29,90,65,azure;azure-api-management,developer,beginner,nickwalk,nickwalkmsft
Receive and invoice items in Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/modules/receive-invoice-dynamics-d365-business-central/,7,812,5680,45.10%,613,138,124,,120.5886111111111,17.864979423868313,38,5,2,,,dynamics-365;dynamics-business-central,business-user;functional-consultant,intermediate,kschimke,KevSch
Search and organize repository history by using GitHub,https://docs.microsoft.com/en-us/learn/modules/search-organize-repository-history-github/,5,1398,7444,84.47%,1151,484,513,1,57.725,4.976293103448276,38,4.809523809523809,21,,,github;azure,devops-engineer;administrator;developer;solution-architect,beginner,thpetche,tpetchel
Secure Azure Active Directory users with Multi-Factor Authentication,https://docs.microsoft.com/en-us/learn/modules/secure-aad-users-with-mfa/,6,4150,24718,67.09%,3349,1119,1148,4,392.92833333333334,11.37823359073359,38,4.678571428571429,56,,,azure;azure-portal;azure-active-directory,security-engineer;administrator,beginner,justinha,Justinha
Send and receive electronic documents in Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/modules/electronic-documents-dynamics-365-business-central/,5,186,778,42.11%,114,24,24,,8.6075,5.553225806451613,38,5,1,,,dynamics-365;dynamics-business-central,business-user;functional-consultant,intermediate,kschimke,KevSch
Set up a company with multiple locations in Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/modules/set-up-company-multiple-locations/,9,172,830,38.18%,110,21,18,,14.330833333333333,9.998255813953488,38,,,,,dynamics-365;dynamics-business-central,functional-consultant;business-user,intermediate,kschimke,KevSch
Set up responsibility centers in Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/modules/set-up-responsibility-centers/,7,154,754,27.78%,108,15,15,,13.026388888888889,10.1504329004329,38,5,1,,,dynamics-365;dynamics-business-central,functional-consultant;business-user,intermediate,kschimke,KevSch
Train and evaluate clustering models,https://docs.microsoft.com/en-us/learn/modules/train-evaluate-cluster-models/,7,2638,18939,66.70%,2346,779,761,2,466.1525,21.28550228310502,38,4.833333333333333,66,24,23,vs-code,data-scientist,intermediate,jasdeb,TomReidNZ
Transition from Skype for Business to Microsoft Teams,https://docs.microsoft.com/en-us/learn/modules/transition-from-skype-for-business-to-microsoft-teams/,7,771,5322,65.40%,633,206,212,6,131.33194444444445,20.574194952132288,38,4.909090909090909,11,,,m365;office-teams,administrator,intermediate,tfrink,wwlpublish
